id;tracking_code;date;details;invoice_id
1;Mouse Villages;2022-02-10T03:06:36;unleash integrate;1
2;Gloves Account Belarussian;2022-02-10T13:06:57;Orchestrator Stravenue;2
3;Gorgeous Checking;2022-02-09T18:25:29;SSL zero;3
4;user-facing turquoise;2022-02-10T08:15:37;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2022-02-09T19:43:30;Viaduct Bedfordshire;5
6;Shoes Avon;2022-02-10T15:05:03;Lilangeni;6
7;Music Handmade;2022-02-10T00:42:41;Estate red;7
8;Officer mobile Specialist;2022-02-10T10:32:44;system;8
9;bypass;2022-02-10T16:05:02;Streamlined;9
10;invoice Quality-focused hack;2022-02-09T20:25:51;wireless Borders;10
